epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,233.986,0.76584,0.41278,1.1689,0.99604,0.96667,0.99227,0.67804,1.10543,0.41437,1.60808,0.001109,0.001109,0.001109
92,236.439,0.86689,0.5065,1.21313,0.99236,0.93333,0.94191,0.63725,1.13645,0.65794,1.63101,0.0010991,0.0010991,0.0010991
93,238.866,0.80943,0.45349,1.19616,0.99134,0.83333,0.8442,0.59057,1.14523,0.91365,1.56264,0.0010892,0.0010892,0.0010892
94,241.508,0.7205,0.40641,1.13424,0.99394,0.7,0.70371,0.47775,1.33225,1.54589,1.70649,0.0010793,0.0010793,0.0010793
95,243.981,0.79566,0.42528,1.13955,0.99343,0.66667,0.69114,0.45558,1.53524,2.42695,1.87311,0.0010694,0.0010694,0.0010694
96,246.46,0.8417,0.38958,1.28158,0.8076,0.53333,0.53616,0.3544,1.82484,5.71676,2.1479,0.0010595,0.0010595,0.0010595
97,248.931,0.78704,0.41543,1.25861,0.2976,0.39555,0.13355,0.08824,1.94371,6.74984,2.3161,0.0010496,0.0010496,0.0010496
98,251.415,0.74181,0.41648,1.13046,0.71123,0.49287,0.45042,0.29154,1.60078,2.55741,1.97409,0.0010397,0.0010397,0.0010397
99,253.873,0.77181,0.43781,1.16147,0.99505,0.83333,0.83796,0.56293,1.23287,0.89219,1.6997,0.0010298,0.0010298,0.0010298
100,256.5,0.84556,0.44057,1.26826,0.9974,0.93333,0.96372,0.64494,1.09859,0.46816,1.5932,0.0010199,0.0010199,0.0010199
101,258.918,0.80089,0.41833,1.20466,0.99798,0.96667,0.97874,0.72102,1.09133,0.44225,1.57659,0.00101,0.00101,0.00101
102,262.365,0.89188,0.50655,1.34726,0.99809,1,0.995,0.7517,1.01969,0.39438,1.48905,0.0010001,0.0010001,0.0010001
103,265.839,0.67664,0.39234,1.15607,0.99808,1,0.995,0.71474,1.05107,0.40379,1.54366,0.0009902,0.0009902,0.0009902
104,268.252,0.7308,0.43525,1.16113,0.99806,1,0.995,0.69776,1.08582,0.38471,1.59001,0.0009803,0.0009803,0.0009803
105,270.675,0.70516,0.40015,1.15626,0.99805,1,0.995,0.68849,1.07727,0.36512,1.57732,0.0009704,0.0009704,0.0009704
106,273.237,0.83125,0.42689,1.21761,0.99801,1,0.995,0.68345,1.0612,0.37225,1.5646,0.0009605,0.0009605,0.0009605
107,275.665,0.86994,0.4614,1.26077,0.99801,1,0.995,0.67839,1.06392,0.36299,1.58406,0.0009506,0.0009506,0.0009506
