epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,125.802,0.72346,0.50457,0.89529,0.83141,0.68482,0.72465,0.45536,1.15988,0.85006,1.34711,0.000393211,0.000393211,0.000393211
53,128.174,0.66278,0.50523,0.9468,0.78427,0.69462,0.77317,0.49206,1.11448,0.75566,1.32001,0.000390608,0.000390608,0.000390608
54,131.067,0.63927,0.45614,0.89335,0.83462,0.67872,0.78645,0.50167,1.0954,0.76239,1.25228,0.000388004,0.000388004,0.000388004
55,133.928,0.72079,0.50254,0.92344,0.83341,0.67432,0.76708,0.49102,1.06934,0.68769,1.19981,0.0003854,0.0003854,0.0003854
56,136.133,0.71334,0.45197,0.93149,0.76899,0.68644,0.72802,0.46797,1.09662,0.72918,1.21276,0.000382796,0.000382796,0.000382796
57,138.31,0.71187,0.50577,0.93812,0.76903,0.69735,0.74305,0.47743,1.06744,0.70566,1.20199,0.000380193,0.000380193,0.000380193
58,140.502,0.63595,0.46944,0.88142,0.8326,0.69714,0.75561,0.50338,1.08952,0.68501,1.23644,0.000377589,0.000377589,0.000377589
59,142.888,0.63829,0.49637,0.92811,0.85268,0.68557,0.75158,0.49201,1.07686,0.72607,1.2216,0.000374985,0.000374985,0.000374985
60,145.094,0.61681,0.42863,0.89012,0.82223,0.69647,0.72932,0.48989,1.05778,0.7612,1.21661,0.000372382,0.000372382,0.000372382
61,147.27,0.63107,0.4253,0.91203,0.7445,0.6718,0.72674,0.47981,1.04388,0.74887,1.18768,0.000369778,0.000369778,0.000369778
62,149.476,0.67679,0.50668,0.91474,0.84126,0.65004,0.73042,0.45714,1.12893,0.82924,1.2257,0.000367174,0.000367174,0.000367174
63,151.684,0.56775,0.45507,0.8928,0.89329,0.62255,0.72329,0.45733,1.1312,0.72049,1.22919,0.000364571,0.000364571,0.000364571
64,153.932,0.59281,0.47027,0.89262,0.87864,0.65773,0.78713,0.48841,1.07457,0.67268,1.17466,0.000361967,0.000361967,0.000361967
65,156.335,0.66493,0.47564,0.92673,0.84741,0.69664,0.78479,0.49999,1.09627,0.67915,1.17304,0.000359363,0.000359363,0.000359363
66,158.558,0.57403,0.40637,0.89221,0.90601,0.649,0.78039,0.5085,1.11657,0.72883,1.17262,0.00035676,0.00035676,0.00035676
67,161.425,0.62976,0.50193,0.93415,0.91952,0.63428,0.77557,0.52017,1.08175,0.69143,1.18288,0.000354156,0.000354156,0.000354156
68,164.359,0.61556,0.44657,0.93355,0.89166,0.6724,0.79403,0.53614,1.09123,0.65416,1.19688,0.000351552,0.000351552,0.000351552
69,167.234,0.5926,0.43071,0.89154,0.85487,0.67413,0.76676,0.52773,1.07431,0.65187,1.17505,0.000348948,0.000348948,0.000348948
70,169.473,0.55662,0.41356,0.88699,0.81506,0.69125,0.77333,0.53178,1.04847,0.68472,1.16116,0.000346345,0.000346345,0.000346345
71,171.849,0.61093,0.41316,0.86775,0.89015,0.64618,0.77169,0.51102,1.0743,0.70162,1.16606,0.000343741,0.000343741,0.000343741
72,174.08,0.58864,0.40206,0.8831,0.81589,0.72128,0.75019,0.49664,1.10376,0.73314,1.22869,0.000341137,0.000341137,0.000341137
73,176.321,0.55541,0.41361,0.87034,0.80201,0.71235,0.74859,0.48778,1.09857,0.72934,1.19132,0.000338534,0.000338534,0.000338534
74,178.513,0.58995,0.4074,0.8721,0.87038,0.68401,0.75459,0.50399,1.10965,0.74129,1.18374,0.00033593,0.00033593,0.00033593
75,180.708,0.66305,0.43354,0.94432,0.86442,0.67158,0.76322,0.5228,1.0878,0.68749,1.18942,0.000333326,0.000333326,0.000333326
